,age,workclass,fnlwgt,education-num,marital status,occupation,relationship,race,sex,hours/week,native country
49,5,1,2,13,1,4,2,5,2,6,39
50,5,4,1,9,1,4,2,5,2,7,39
51,4,3,2,10,3,13,1,5,2,4,39
52,4,3,2,3,3,7,1,5,2,4,26
53,3,3,1,11,3,8,1,5,2,4,33
54,4,3,1,9,3,1,1,5,2,5,39
55,2,3,2,9,3,7,1,5,2,4,39
56,2,3,1,13,3,12,1,5,2,4,39
57,5,3,1,9,3,14,1,5,2,4,39
58,4,3,1,16,3,10,1,5,2,5,39
59,2,3,1,10,1,13,2,5,2,6,39
60,3,3,1,9,3,3,1,5,2,4,39
61,2,3,2,10,1,1,2,5,1,4,39
62,5,3,2,9,3,1,6,5,1,4,39
63,5,4,2,10,3,4,1,5,2,5,39
64,1,3,1,10,5,10,4,5,2,4,39
65,2,3,3,13,6,12,4,3,1,4,39
66,2,5,2,13,3,12,1,5,2,8,39
67,1,3,2,10,5,7,2,5,2,4,39
68,9,3,1,10,3,10,3,5,2,2,39
69,2,3,2,9,5,8,4,5,2,4,26
70,4,3,1,12,3,1,1,5,2,4,39
71,1,3,3,7,5,8,4,5,1,3,39
72,2,2,1,4,3,5,1,5,2,4,39
73,1,3,3,9,5,12,2,5,2,3,39
74,5,3,2,13,3,8,1,5,2,4,5
75,4,3,1,9,3,8,6,5,1,4,39
76,6,3,1,9,3,12,1,5,2,5,39
77,4,3,3,9,1,3,2,5,1,4,39
78,5,3,3,9,1,12,4,5,1,4,39
79,5,2,2,9,3,11,1,5,2,4,39
80,3,3,2,14,3,10,1,5,2,5,39
81,2,3,1,5,5,12,2,5,2,4,39
82,4,1,3,16,5,10,2,5,1,5,39
83,6,3,2,11,3,10,1,5,2,4,39
84,3,3,2,10,1,3,5,5,1,4,39
85,2,3,2,10,1,7,5,3,1,3,39
86,3,2,2,13,3,11,1,5,2,4,39
87,2,2,1,10,5,6,2,5,2,5,39
88,5,5,2,16,3,10,1,5,2,7,39
89,3,3,2,10,3,12,1,5,2,5,39
90,5,3,2,12,1,4,5,5,1,4,9
91,3,1,2,9,5,8,4,3,2,4,39
92,9,3,1,14,3,4,1,5,2,4,39
93,4,3,2,13,3,4,1,5,2,7,39
94,5,5,1,14,5,10,2,5,1,5,39
95,1,3,2,10,5,13,4,5,1,4,39
96,2,3,1,9,5,3,2,5,2,4,39
97,3,4,3,9,3,3,1,5,2,4,39
98,2,3,2,7,5,6,4,5,2,4,39
99,2,2,2,9,5,1,2,5,1,4,39
100,4,3,1,9,3,6,1,5,2,4,39
101,1,3,3,13,5,12,3,5,2,4,39
102,3,3,1,15,3,10,1,5,2,4,39
103,6,5,3,9,3,8,1,5,2,5,2
104,2,3,3,10,3,12,6,5,1,3,39
105,3,3,1,9,5,7,4,5,1,4,39
106,5,3,1,5,3,6,1,5,2,5,39
107,6,4,2,10,3,12,1,5,2,5,39
108,5,2,2,11,3,3,1,3,2,4,39
109,6,3,2,10,3,12,1,5,2,6,39
110,1,3,1,9,5,3,2,5,2,5,39
111,1,3,2,10,5,8,4,5,1,4,39
112,4,3,1,13,3,4,1,5,2,7,39
113,2,3,1,13,5,4,4,3,2,4,11
114,2,6,2,13,3,10,1,5,2,5,39
115,1,3,2,10,5,8,4,3,2,4,39
116,5,3,2,13,3,4,6,5,1,4,39
117,1,3,1,10,5,1,4,5,1,3,39
118,2,3,1,12,3,1,1,5,2,4,39
119,4,3,3,10,1,3,2,5,2,4,39
120,2,3,1,12,5,12,2,5,1,7,39
121,1,3,1,9,5,8,2,5,1,4,39
122,3,5,1,9,3,3,1,5,2,4,39
123,3,3,2,13,3,12,1,5,2,5,39
124,4,3,1,12,1,13,2,3,1,4,39
125,3,1,1,14,3,10,1,5,2,4,20
126,4,5,1,9,3,3,1,5,2,7,39
127,2,3,2,11,3,1,6,5,1,4,39
128,1,3,1,10,5,12,4,5,2,2,39
129,5,3,1,10,3,3,1,2,2,4,39
130,7,4,1,9,3,3,1,5,2,4,39
131,2,3,2,10,5,12,4,5,1,4,39
132,1,3,3,10,5,8,4,5,2,3,26
133,4,3,2,11,5,10,2,5,1,4,39
134,8,3,1,10,5,13,3,5,2,4,39
135,2,3,2,9,5,14,5,3,1,3,39
136,1,3,2,10,3,8,1,5,2,3,39
137,3,3,1,9,7,8,5,5,1,3,39
138,7,3,2,7,3,3,1,5,2,4,39
139,5,2,2,10,1,1,5,5,1,4,26
140,3,3,2,9,5,1,2,5,1,4,39
141,3,3,2,13,5,4,3,2,1,4,30
142,1,3,2,9,5,3,4,5,2,4,39
143,5,3,2,9,3,3,1,5,2,5,39
144,1,3,2,13,5,6,2,5,2,4,39
145,8,5,4,10,6,12,5,3,2,1,39
146,2,3,2,9,1,3,2,5,2,7,39
147,4,3,2,13,6,8,3,3,2,5,39
148,2,3,2,9,5,8,5,5,1,4,39
149,4,4,1,14,1,4,5,2,1,4,39
150,2,3,1,9,5,4,2,2,1,4,9
151,4,5,2,14,3,12,1,5,2,4,39
152,3,3,2,10,1,8,5,5,1,4,26
153,4,1,2,12,5,4,2,5,2,5,39
154,4,6,1,14,7,11,5,5,2,4,39
155,1,3,1,7,5,6,4,5,2,2,39
156,7,2,1,11,7,10,2,5,1,2,39
157,2,3,1,9,5,8,2,5,2,4,39
158,2,6,2,9,3,11,1,5,2,4,39
159,5,3,1,10,3,12,1,5,2,4,39
160,2,3,3,13,5,3,2,5,2,5,39
161,2,6,1,13,3,10,1,5,2,4,39
162,2,3,2,9,4,12,5,5,1,3,39
163,1,3,3,9,5,3,4,3,2,4,39
164,3,3,4,9,5,6,2,3,2,4,39
165,1,3,2,9,5,8,4,5,2,2,39
166,3,3,1,13,3,10,1,5,2,7,39
167,4,2,2,10,3,4,1,3,2,4,39
168,4,3,1,10,1,1,2,5,1,4,39
169,2,3,5,10,5,3,2,3,2,5,39
170,4,3,2,4,3,7,1,5,2,4,26
171,3,1,1,10,3,1,1,5,2,5,39
172,3,3,2,9,3,1,1,3,2,4,39
173,4,5,1,13,1,4,2,5,1,4,39
174,2,3,1,14,3,10,6,5,1,5,39
175,6,6,1,16,3,10,1,5,2,1,39
176,3,3,1,10,1,7,2,3,1,3,39
177,1,3,1,10,3,7,1,5,2,4,39
178,4,2,4,13,3,3,1,3,2,4,39
179,5,3,1,10,3,13,1,5,2,5,39
180,4,1,1,13,3,13,1,5,2,3,39
181,1,3,2,3,3,14,3,5,2,4,26
182,3,3,1,10,1,3,2,5,2,4,39
183,4,1,1,14,5,4,2,5,1,6,39
184,3,3,1,14,3,10,3,5,2,4,39
185,1,5,1,9,5,12,2,5,2,4,39
186,2,3,3,14,5,10,2,5,1,4,39
187,5,3,2,13,3,4,1,5,2,5,39
188,4,2,2,10,5,10,2,5,1,4,39
189,3,6,1,9,1,1,5,5,1,4,39
190,1,3,1,7,5,12,4,5,1,4,39
191,3,3,1,13,3,8,1,3,2,4,39
192,3,3,1,9,1,3,2,5,2,7,39
193,6,4,2,9,3,12,6,5,1,4,39
194,1,3,1,7,5,12,4,5,1,2,39
195,4,2,1,9,3,14,1,3,2,4,39
196,3,3,2,9,3,3,1,5,2,4,39
197,3,3,1,10,5,12,2,1,1,4,39
198,6,3,1,9,3,3,1,2,2,4,39
199,6,4,1,4,3,7,1,5,2,4,39
200,3,3,5,13,5,4,2,3,2,7,39
201,5,3,3,12,1,12,2,5,1,4,39
202,3,3,2,13,3,12,1,5,2,5,31
203,4,3,1,13,3,10,1,5,2,6,39
204,2,3,2,6,5,3,2,5,2,4,39
205,2,3,2,10,3,6,1,5,2,4,39
206,10,3,1,9,5,8,2,3,2,4,39
207,6,3,2,9,3,1,1,3,2,2,39
208,5,2,1,1,5,7,2,5,1,4,39
209,1,3,2,9,5,12,4,5,1,4,39
210,7,5,2,9,3,5,1,5,2,5,39
211,8,3,3,11,7,1,2,5,1,2,4
212,7,3,2,9,1,1,2,5,1,4,39
213,3,3,4,7,6,14,2,3,2,4,39
214,4,3,1,9,1,12,5,3,1,4,39
215,2,3,1,10,5,1,2,5,2,5,39
216,3,3,1,10,1,3,3,4,1,4,39
217,2,3,1,15,5,10,2,5,2,6,39
218,6,6,2,9,3,8,1,5,2,4,39
219,4,6,2,10,5,1,2,5,1,4,39
220,4,3,2,13,3,4,1,5,2,5,20
221,3,2,1,14,3,4,1,5,2,8,39
222,1,3,1,9,5,14,4,5,2,4,39
223,4,3,3,13,3,10,1,5,2,4,39
224,4,5,2,9,3,8,6,5,1,2,39
225,1,6,2,12,3,11,1,5,2,5,39
226,3,3,2,10,1,3,2,5,2,4,39
227,6,3,2,9,3,1,1,5,2,5,39
228,3,3,2,9,5,8,2,5,1,4,39
229,4,3,2,12,3,13,1,5,2,7,39
230,4,3,1,15,3,10,6,5,1,4,39
231,4,3,3,13,3,1,6,3,1,4,39
232,6,2,2,6,7,8,5,3,1,3,39
233,1,2,1,10,5,1,4,5,2,4,39
234,6,3,2,10,5,14,2,5,2,2,39
235,4,5,2,9,3,5,1,2,2,4,1
236,1,3,1,9,5,8,4,5,1,4,39
237,3,3,2,9,6,8,2,5,1,3,39
238,4,3,2,11,7,4,2,5,1,5,39
239,5,3,2,4,1,3,2,5,2,4,39
240,3,3,1,13,1,10,4,5,1,4,39
241,4,3,1,9,3,12,1,5,2,7,39
242,1,3,2,7,5,8,4,5,2,2,39
243,6,3,1,10,3,12,1,5,2,4,39
244,2,3,3,7,3,3,1,5,2,4,39
245,3,4,2,10,3,4,1,2,2,8,37
246,7,3,1,9,3,4,1,5,2,4,39
247,3,3,2,13,5,10,2,5,1,5,39
248,3,3,2,9,3,3,6,5,1,4,39
249,7,3,1,9,3,4,1,5,2,4,39
250,1,3,2,5,5,8,4,5,2,3,39
251,5,5,1,14,3,5,1,5,2,10,39
252,2,2,2,14,5,10,4,5,2,4,39
253,2,3,1,9,1,10,4,5,1,4,39
254,4,3,4,9,3,6,1,3,2,4,39
255,4,3,2,10,3,3,1,5,2,4,39
256,3,3,2,10,5,4,2,5,1,4,39
257,2,3,2,10,5,13,4,5,1,4,39
258,1,3,2,10,3,7,6,5,1,5,39
259,1,3,1,13,5,10,2,5,1,2,11
260,4,2,1,10,3,3,1,5,2,4,39
261,3,3,2,12,1,12,5,3,1,5,39
262,6,3,2,13,1,10,2,5,1,5,39
263,1,3,2,9,5,6,4,5,2,4,39
264,6,1,3,14,3,12,1,5,2,4,39
265,4,3,2,15,3,10,1,5,2,7,39
266,5,3,2,10,1,8,2,5,2,5,39
267,2,3,3,13,5,4,2,5,1,4,39
268,5,3,2,4,3,3,1,5,2,4,7
269,3,3,2,13,3,10,1,5,2,5,39
270,2,3,1,9,1,10,2,5,1,4,39
271,2,2,2,13,5,11,2,5,2,6,39
272,1,3,2,10,5,12,4,5,2,5,39
273,2,3,2,13,5,13,5,3,1,4,39
274,7,3,1,9,3,14,1,5,2,2,39
275,3,4,1,13,1,12,2,5,1,7,39
276,1,3,2,9,5,3,4,5,2,4,39
277,3,3,2,9,1,12,2,5,2,9,39
278,5,3,1,13,3,1,1,5,2,4,39
279,1,3,1,10,5,8,2,2,1,3,39
280,2,3,2,9,3,14,1,5,2,5,39
281,6,3,2,9,3,12,1,5,2,4,39
282,1,3,2,10,3,1,6,2,1,4,25
283,4,3,2,9,1,1,2,5,1,4,39
284,2,3,2,12,5,13,2,5,2,5,39
285,4,3,1,12,5,10,2,5,1,4,39
286,3,3,2,12,3,1,1,5,2,4,39
287,4,4,1,10,3,5,1,5,2,6,39
288,2,3,1,13,5,12,2,5,2,4,39
289,3,3,1,14,3,4,1,2,2,4,36
290,3,5,2,13,1,10,2,3,1,4,39
291,1,3,2,10,5,12,4,5,2,2,39
292,1,3,2,10,5,7,2,5,2,4,39
293,9,5,1,10,3,12,1,5,2,4,39
294,1,3,3,3,3,7,3,5,1,4,26
295,2,3,3,10,5,13,2,5,1,4,39
296,7,3,1,9,7,8,2,5,1,3,39
297,4,5,2,9,3,4,1,5,2,4,39
298,4,3,1,10,3,3,1,5,2,5,39
299,3,3,2,9,1,14,2,5,2,5,39
300,2,3,2,7,5,4,2,5,1,4,39
301,9,5,2,14,3,3,1,5,2,1,39
302,7,5,1,9,3,5,1,5,2,5,39
303,4,3,2,10,3,10,6,5,1,5,39
304,6,5,3,9,3,6,1,5,2,4,39
305,7,3,1,9,5,14,2,5,2,6,39
306,4,3,2,10,5,3,2,3,2,5,39
307,2,3,2,13,5,1,2,5,2,4,39
308,5,3,2,11,5,8,2,5,2,4,39
309,6,2,1,6,3,1,1,5,2,4,39
310,5,3,2,9,3,14,1,5,2,4,39
311,1,3,2,3,5,8,3,5,2,5,26
312,2,3,1,9,5,3,3,5,2,4,39
313,5,3,1,14,5,10,2,5,2,7,39
314,1,3,1,9,5,12,5,3,2,3,14
315,4,3,2,9,3,8,1,3,2,4,39
316,2,3,1,12,5,12,2,5,2,4,39
317,3,3,2,11,3,3,1,5,2,4,39
318,3,6,1,9,3,11,1,5,2,4,39
319,3,3,1,9,5,5,2,5,2,2,39
320,1,6,2,10,5,11,4,3,1,4,39
321,4,5,2,13,5,12,2,5,2,5,39
322,6,3,1,12,4,8,2,5,2,3,20
323,2,3,1,13,5,10,4,5,2,3,39
324,3,3,1,13,3,4,1,5,2,4,39
325,2,3,2,9,3,8,1,5,2,4,39
326,3,3,1,13,3,4,1,5,2,4,39
327,4,2,3,7,3,14,1,5,2,3,39
328,3,1,1,9,3,1,1,5,2,4,39
329,7,3,2,7,7,8,5,4,2,4,39
330,4,3,1,11,3,13,1,5,2,4,39
331,4,3,1,9,3,1,6,5,1,4,39
332,2,5,1,5,3,3,1,5,2,4,32
333,3,3,3,6,3,8,6,5,1,3,39
334,7,3,2,14,3,10,1,5,2,4,39
335,4,3,2,13,3,14,1,5,2,5,39
336,4,3,2,13,1,4,2,5,2,5,39
337,1,3,3,9,4,12,2,5,2,6,39
338,2,3,1,9,3,3,1,5,2,4,39
339,6,5,2,10,3,12,1,5,2,5,39
340,1,3,3,12,5,12,2,5,1,2,39
341,6,3,2,13,1,4,2,5,1,5,39
342,4,3,4,9,1,12,5,5,1,4,39
343,2,1,2,10,5,1,5,5,1,2,39
344,1,3,1,7,5,8,4,5,2,1,39
345,4,6,2,11,3,7,1,5,2,4,39
346,4,3,2,9,3,7,1,3,2,4,39
347,4,3,1,9,5,3,2,3,2,4,39
348,1,2,3,10,5,1,4,5,1,1,39
349,3,3,2,9,3,3,6,5,1,4,39
350,1,3,1,10,5,12,2,5,2,4,39
351,4,5,1,14,1,4,2,5,2,3,39
352,3,3,2,9,3,12,1,5,2,5,39
353,6,3,2,9,1,14,2,5,2,4,39
354,4,3,2,3,1,3,2,5,1,5,39
355,2,3,3,10,3,3,1,5,2,4,39
356,4,3,1,10,1,12,2,5,1,4,39
357,3,2,1,10,3,14,6,5,1,4,39
358,1,3,3,9,5,8,2,5,1,3,39
359,2,3,1,9,6,7,2,5,2,4,39
360,4,3,2,10,3,1,6,5,1,1,39
361,1,3,1,10,5,1,4,5,1,2,39
362,1,3,2,9,5,8,3,5,1,4,39
363,3,3,2,9,3,8,6,5,1,4,39
364,2,3,2,13,5,3,2,5,2,5,39
365,4,5,2,12,6,3,2,5,2,4,39
366,3,3,2,9,5,8,2,5,1,4,39
367,4,3,1,10,3,13,1,5,2,4,39
368,4,3,1,10,1,6,5,5,1,4,39
369,2,3,1,13,3,4,1,5,2,6,39
370,5,4,1,13,3,4,1,5,2,5,39
371,1,3,3,10,5,6,4,5,2,4,39
372,2,3,1,10,5,8,2,5,1,4,39
373,5,6,2,13,3,11,1,5,2,4,39
374,3,3,2,11,1,13,2,5,1,7,39
375,2,3,2,4,3,6,1,4,2,4,33
376,4,3,3,14,3,4,1,5,2,7,39
377,2,3,1,9,3,1,1,5,2,4,39
378,4,5,3,9,3,3,1,5,2,3,39
379,3,3,3,10,3,4,1,5,2,5,39
380,4,2,1,10,1,8,2,3,1,3,39
381,1,3,2,9,5,6,5,3,1,4,39
382,3,3,1,10,1,4,5,5,1,4,39
383,4,3,2,16,3,4,1,5,2,7,39
384,2,6,7,10,3,7,1,5,2,4,39
385,3,3,1,8,1,3,2,5,2,5,39
386,5,3,2,2,3,7,1,5,2,4,26
387,2,3,3,7,5,8,4,5,1,2,39
388,3,2,2,7,6,7,2,3,2,4,39
389,3,6,2,9,1,14,5,5,1,4,39
390,1,3,1,10,3,12,1,5,2,3,39
391,1,3,2,7,5,6,4,5,2,2,39
392,3,6,1,13,3,4,6,5,1,4,39
393,2,3,2,9,1,5,2,5,2,4,39
394,3,3,2,6,5,3,5,5,1,4,39
395,2,3,1,9,3,14,1,5,2,7,39
396,3,1,2,14,5,10,2,5,2,4,39
397,1,3,2,9,5,6,2,5,2,8,6
398,7,4,2,9,3,4,1,5,2,4,39
399,5,2,2,14,3,10,1,5,2,4,39
400,4,5,2,13,4,10,2,5,1,4,39
401,2,3,1,12,3,8,6,5,1,3,39
402,2,3,1,10,5,3,4,2,2,4,30
403,3,3,2,14,3,10,1,5,2,5,39
404,3,2,2,9,5,5,2,3,2,7,39
405,3,2,1,10,5,11,2,5,1,4,39
406,1,3,1,10,3,1,1,5,2,4,39
407,4,2,3,10,3,1,6,5,1,4,39
408,2,3,3,13,5,10,2,5,2,4,39
409,4,3,1,9,1,1,2,5,1,3,39
410,1,1,2,9,5,2,4,5,2,4,39
411,4,3,1,10,3,10,1,5,2,4,39
412,2,3,3,5,5,3,3,5,2,4,26
413,1,3,2,10,5,12,2,5,2,4,39
414,4,3,2,9,7,4,5,3,1,4,39
415,5,3,1,9,3,3,1,1,2,4,39
416,1,3,1,9,3,7,1,5,2,4,39
417,1,3,2,9,5,7,4,3,1,4,39
418,4,4,2,10,3,3,1,5,2,6,39
419,6,3,2,9,3,3,1,5,2,4,39
420,4,5,2,9,3,12,6,5,1,4,39
421,4,3,1,11,3,7,1,2,2,4,39
422,2,3,2,9,3,4,6,5,1,4,39
423,3,3,3,10,3,14,1,3,2,5,39
424,1,3,1,9,3,14,1,5,2,7,39
425,4,3,1,12,5,5,4,5,2,4,39
426,6,2,2,9,3,14,1,3,2,4,39
427,3,3,1,13,3,10,1,5,2,5,39
428,5,3,2,2,4,3,5,5,2,4,39
429,1,3,2,13,5,13,2,5,1,2,39
430,3,3,1,9,3,1,6,5,1,7,39
431,5,3,1,9,1,14,5,5,2,4,39
432,3,3,1,10,3,14,1,5,2,4,39
433,5,3,2,14,3,4,1,5,2,5,39
434,2,3,1,13,3,13,6,5,1,2,39
435,6,3,2,10,5,10,5,5,2,4,39
436,3,3,2,9,5,3,2,5,2,4,39
437,2,3,2,9,5,14,2,5,2,7,39
438,7,3,1,11,1,8,2,5,1,3,39
439,4,3,2,13,5,3,2,5,1,4,39
440,1,3,2,5,5,8,2,5,2,1,39
441,1,3,2,10,5,6,4,5,2,3,39
442,2,3,1,6,5,8,2,5,2,4,39
443,1,3,2,9,5,8,5,5,1,4,39
444,3,3,1,12,3,3,1,5,2,5,32
445,4,5,2,10,3,3,1,5,2,2,39
446,2,6,1,13,5,10,2,5,2,2,39
447,4,3,2,9,4,3,5,5,1,4,39
448,2,3,2,10,4,1,4,3,1,2,39
449,6,2,2,9,3,14,1,5,2,5,39
450,4,2,2,13,1,10,5,5,1,4,39
451,3,3,1,13,3,12,1,5,2,7,39
452,4,3,3,9,5,8,2,5,1,4,39
453,4,1,3,9,1,1,2,5,2,4,39
454,3,3,1,12,5,4,2,5,1,7,39
455,3,3,2,9,1,10,5,5,1,3,39
456,3,3,2,13,5,3,4,5,2,2,39
457,4,3,3,9,1,1,5,5,1,4,39
458,1,3,2,10,5,7,4,5,2,4,39
459,1,3,3,3,5,8,4,5,2,4,8
460,2,3,1,10,5,10,2,5,1,4,39
461,1,2,3,9,5,5,2,5,2,4,31
462,7,2,1,9,3,14,1,5,2,4,39
463,5,3,1,10,3,1,1,5,2,4,39
464,6,3,2,10,1,8,5,5,1,5,10
465,2,3,2,13,5,12,2,5,1,4,39
466,1,3,3,13,5,4,2,3,2,4,39
467,1,3,2,10,5,11,4,5,2,1,39
468,4,3,1,10,3,4,1,5,2,4,39
469,5,2,4,9,6,1,5,3,1,4,39
470,4,3,1,9,1,8,5,5,1,4,39
471,5,3,1,11,4,6,5,5,2,5,39
472,3,3,1,11,5,3,2,5,2,5,39
473,3,3,3,10,3,10,1,5,2,5,39
474,2,3,2,9,1,3,2,5,2,5,39
475,2,3,2,10,5,1,2,1,1,2,39
476,3,3,1,13,3,10,1,5,2,5,39
477,3,4,1,13,3,4,1,5,2,9,39
478,5,3,2,9,3,4,1,5,2,5,39
479,1,2,2,10,1,6,2,3,2,5,39
480,3,2,2,10,3,13,1,5,2,5,39
481,4,3,2,10,1,7,5,5,2,6,39
482,2,3,1,10,3,12,6,5,1,4,39
483,4,3,2,13,3,4,1,5,2,4,39
484,8,3,1,10,1,1,2,5,1,1,39
485,3,5,2,9,3,3,1,5,2,5,39
486,4,5,2,14,3,10,1,5,2,4,39
487,4,3,1,7,1,7,5,4,1,5,33
488,2,3,1,9,5,7,2,5,2,4,39
489,3,3,2,9,3,8,1,3,2,4,39
490,4,3,1,12,3,4,6,5,1,5,39
491,7,3,2,15,3,10,1,5,2,5,39
492,4,2,2,8,3,13,1,5,2,5,39
493,6,3,2,2,7,9,2,3,1,3,39
494,2,3,1,11,6,3,2,5,2,4,39
495,2,4,1,13,5,5,2,5,1,5,39
496,4,3,2,10,3,14,1,5,2,4,39
497,2,3,1,16,5,10,4,5,2,4,39
498,2,3,2,10,5,6,5,5,1,4,39
499,2,3,2,9,5,14,2,5,2,4,39
500,2,3,2,10,3,12,1,5,2,5,39
501,3,3,1,9,5,6,2,5,1,5,39
502,6,3,1,6,3,8,6,5,1,1,39
503,3,2,2,10,3,11,1,5,2,4,39
504,1,3,2,9,5,6,4,5,2,4,39
505,2,3,2,10,5,3,5,5,2,4,39
506,4,5,2,10,1,4,2,5,2,5,39
507,3,5,1,9,6,8,5,5,1,4,39
508,8,3,2,7,7,1,5,5,1,4,39
509,3,3,2,9,3,7,6,3,1,4,39
510,3,1,3,11,1,3,5,3,1,4,39
511,8,3,1,7,5,7,2,5,1,4,39
512,3,3,1,9,3,7,1,5,2,4,39
513,3,3,1,9,3,13,6,5,1,4,39
514,2,3,1,7,3,8,1,5,2,4,26
515,2,3,1,13,5,14,2,5,2,6,39
516,6,3,2,13,3,12,1,5,2,4,39
517,5,3,2,10,3,10,1,5,2,5,39
518,1,3,1,9,5,6,5,3,1,4,39
519,5,5,3,13,3,10,1,5,2,7,39
520,1,3,1,9,5,6,4,1,2,5,39
521,4,4,2,14,3,4,1,5,2,5,39
522,4,3,3,4,6,8,5,5,1,4,26
523,2,5,1,9,6,3,2,5,2,4,39
524,5,3,1,14,1,4,5,5,2,5,39
525,1,3,3,9,5,3,4,5,2,4,39
526,5,3,1,9,3,10,1,5,2,4,39
527,1,3,2,7,5,12,4,5,2,2,39
528,3,3,1,11,3,3,1,5,2,4,39
529,2,3,1,16,5,10,2,5,1,8,39
530,2,3,3,13,3,4,6,5,2,4,39
531,3,5,1,12,1,12,5,5,1,4,39
532,6,2,2,13,5,10,2,5,1,4,39
533,2,5,1,10,3,3,1,5,2,5,39
534,6,3,1,9,3,12,1,5,2,4,39
535,6,3,2,9,3,3,1,5,2,4,39
536,2,3,2,9,3,7,1,5,2,4,39
537,2,5,3,13,5,13,2,5,2,4,39
538,1,3,2,10,5,12,4,5,1,3,39
539,2,3,1,10,5,1,2,5,2,7,39
540,1,3,1,7,5,8,4,5,2,4,39
541,5,3,1,6,3,3,1,5,2,5,39
542,6,4,1,13,1,10,2,5,2,9,39
543,6,3,1,4,5,14,2,5,2,5,39
544,2,3,2,13,3,10,1,5,2,4,2
545,1,3,1,13,5,1,4,5,1,4,39
546,2,3,2,9,5,12,4,5,2,4,39
547,4,5,2,15,3,10,1,5,2,5,39
548,2,3,2,10,5,13,2,5,2,4,39
549,5,3,1,13,5,10,2,5,1,5,39
550,3,3,2,13,5,13,2,5,2,4,39
551,1,3,2,10,5,1,4,5,2,3,39
552,6,3,1,4,1,8,2,5,1,4,39
553,4,2,2,5,3,8,1,5,2,4,39
554,3,5,2,12,5,5,2,5,2,4,39
555,5,3,1,9,5,1,5,3,1,4,39
556,5,3,3,14,3,3,1,5,2,4,39
557,2,3,2,9,5,3,2,1,2,4,39
558,3,2,3,9,6,4,2,3,2,4,39
559,1,3,2,6,5,8,4,5,1,3,39
560,5,3,2,14,1,10,2,5,1,7,39
561,1,3,2,9,5,3,2,5,2,4,39
562,1,3,2,9,3,6,1,5,2,5,39
563,2,2,2,13,5,10,4,5,2,4,39
564,2,3,1,13,5,8,4,5,1,2,39
565,4,3,2,9,5,6,4,5,2,7,39
566,2,3,3,9,3,14,1,3,2,5,39
567,5,5,1,9,3,4,1,5,2,4,39
568,5,4,1,13,3,12,1,5,2,6,39
569,4,3,1,15,3,10,1,5,2,5,39
570,1,3,2,13,5,12,4,5,1,2,39
571,4,3,4,7,7,8,2,3,1,2,39
572,7,3,1,5,7,9,5,3,1,3,39
573,2,3,1,11,3,14,1,5,2,6,39
574,5,3,2,5,4,6,5,5,2,4,8
575,2,3,1,9,5,5,4,3,2,7,39
576,3,3,1,9,3,12,1,5,2,5,39
577,3,5,2,9,3,12,1,5,2,7,39
578,3,3,2,10,3,4,1,5,2,4,39
